OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,CO2EmissionsTonnesPerPerson
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2012,6.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2012,5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2012,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2012,7.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2012,7.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2012-01-01T00:00:00,2012-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2012,7.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2011,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2011,6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2011,6.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2011,4.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2011,6.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2011,6.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2011,7.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2011-01-01T00:00:00,2011-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2011,7
